,Unnamed: 0,PLAYER NAME,TEAM,POS,BYE WEEK,POINTS,POSITIONAL TIER
355,372,New Orleans Saints,NO,DST,11,108.4,7
356,373,Chad Ryland,ARI,K,8,142.7,6
357,374,Spencer Rattler,NO,QB,11,25.7,5
358,375,Jahan Dotson,PHI,WR,9,64.1,8
359,376,JuJu Smith-Schuster,KC,WR,10,51.1,9
360,377,Emari Demercado,ARI,RB,8,62.8,7
361,378,Jalin Hyatt,NYG,WR,14,37.9,9
362,379,Jacob Cowing,SF,WR,14,16.0,10
363,380,Josh Oliver,MIN,TE,6,48.0,7
364,381,Darnell Washington,PIT,TE,5,42.7,7
365,382,Dillon Gabriel,CLE,QB,9,14.5,5
366,383,Craig Reynolds,DET,RB,8,18.8,9
367,384,Colby Parkinson,LAR,TE,8,32.3,8
368,385,Cordarrelle Patterson,PIT,RB,5,25.5,9
369,386,Mitchell Evans,CAR,TE,14,4.5,9
370,387,Zay Jones,ARI,WR,8,32.9,9
371,388,Kalif Raymond,DET,WR,8,47.7,9
372,389,AJ Barner,SEA,TE,8,31.6,8
373,391,Grant Calcaterra,PHI,TE,9,43.7,7
374,392,Joe Milton,DAL,QB,10,35.3,5
375,393,Tyler Johnson,NYJ,WR,9,24.2,10
376,394,Olamide Zaccheaus,CHI,WR,5,20.1,10
377,396,Daniel Bellinger,NYG,TE,14,29.4,8
378,397,Las Vegas Raiders,LV,DST,8,105.5,9
379,398,Kylen Granson,PHI,TE,9,24.1,8
380,399,KeAndre Lambert-Smith,LAC,WR,12,24.9,10
381,400,Elijah Higgins,ARI,TE,8,45.2,7
382,401,Malik Willis,GB,QB,5,23.6,5
383,402,Jonathan Mingo,DAL,WR,10,27.8,10
384,403,David Moore,CAR,WR,14,17.0,10
385,404,Hunter Long,JAC,TE,8,10.5,9
386,405,Jake Bobo,SEA,WR,8,39.0,9
387,407,Jacksonville Jaguars,JAC,DST,8,108.1,7
388,408,Julius Chestnut,TEN,RB,10,28.6,9
389,409,KhaDarel Hodge,ATL,WR,5,9.2,10
390,410,Zach Wilson,MIA,QB,12,29.7,5
391,412,Brevin Jordan,HOU,TE,6,9.9,9
392,413,Jordan Watkins,SF,WR,14,10.2,10
393,414,Clyde Edwards-Helaire,NO,RB,11,9.2,10
394,415,Devontez Walker,BAL,WR,7,9.3,10
395,416,Marcus Mariota,WAS,QB,12,29.7,5
396,418,Jake Browning,CIN,QB,10,32.0,5
397,419,Sam Howell,MIN,QB,6,27.6,5
398,420,Tanner Hudson,CIN,TE,10,47.2,7
399,421,Tyrod Taylor,NYJ,QB,9,23.8,5
400,422,Cooper Rush,BAL,QB,7,27.8,5
401,423,Mo Alie-Cox,IND,TE,11,20.5,8
402,424,Drew Sample,CIN,TE,10,42.1,7
